x, y, predicted_y
-10.000000, 100.000000, 101.689445
-9.900000, 98.009995, 99.656242
-9.799999, 96.039986, 97.623283
-9.700000, 94.089996, 95.590813
-9.600000, 92.160004, 93.557854
-9.500000, 90.250000, 91.524895
-9.400001, 88.360008, 89.492180
-9.300000, 86.490005, 87.459709
-9.200001, 84.640015, 85.426750
-9.100000, 82.810005, 83.394035
-9.000000, 81.000000, 81.361076
-8.900001, 79.210007, 79.328117
-8.800000, 77.440002, 77.295403
-8.700000, 75.689995, 75.262932
-8.600000, 73.960007, 73.229973
-8.500000, 72.250000, 71.197746
-8.400001, 70.560013, 69.164299
-8.300000, 68.889999, 67.131828
-8.200000, 67.239998, 65.098381
-8.100000, 65.610008, 63.065910
-8.000000, 64.000000, 61.033195
-7.900000, 62.410000, 59.000237
-7.800000, 60.840004, 56.967522
-7.700000, 59.289997, 54.974602
-7.600000, 57.759998, 53.675041
-7.500000, 56.250000, 52.375237
-7.400000, 54.760002, 51.074944
-7.300000, 53.290001, 49.774651
-7.200000, 51.839996, 48.475334
-7.100000, 50.410000, 47.433830
-7.000000, 49.000000, 46.451897
-6.900000, 47.609993, 45.470451
-6.800000, 46.239998, 44.488274
-6.700000, 44.889996, 43.506340
-6.600000, 43.559998, 42.524406
-6.500000, 42.250000, 41.542717
-6.400000, 40.960003, 40.560295
-6.300000, 39.690002, 39.578606
-6.200000, 38.440002, 38.596672
-6.100000, 37.209999, 37.614738
-6.000000, 36.000000, 36.633049
-5.900000, 34.810001, 35.651115
-5.800000, 33.640003, 34.668938
-5.700000, 32.490002, 33.686516
-5.600000, 31.359999, 32.705070
-5.500000, 30.250000, 31.722893
-5.400000, 29.160002, 30.741447
-5.300000, 28.089996, 29.759514
-5.200000, 27.039997, 28.777336
-5.100000, 26.009998, 27.795403
-5.000000, 25.000000, 26.813225
-4.900000, 24.010000, 25.831779
-4.800000, 23.040001, 24.849846
-4.700000, 22.090002, 23.867668
-4.600000, 21.160004, 22.885735
-4.500000, 20.250000, 21.904289
-4.400000, 19.360001, 20.921623
-4.300000, 18.490002, 19.940178
-4.200000, 17.640003, 18.958000
-4.100000, 16.810003, 17.976067
-4.000000, 16.000000, 16.994133
-3.900000, 15.210001, 16.012444
-3.800000, 14.440000, 15.030266
-3.700000, 13.690001, 14.049065
-3.600000, 12.959999, 13.066399
-3.500000, 12.250000, 12.084465
-3.400000, 11.560000, 11.205803
-3.300000, 10.889999, 10.567619
-3.200000, 10.240001, 9.929192
-3.100000, 9.610001, 9.290764
-3.000000, 9.000000, 8.652580
-2.900000, 8.410001, 8.013908
-2.800000, 7.840000, 7.375481
-2.700000, 7.290000, 6.740959
-2.600000, 6.760001, 6.339836
-2.500000, 6.250000, 5.939201
-2.400000, 5.760000, 5.538567
-2.300000, 5.290001, 5.137688
-2.200000, 4.840000, 4.737297
-2.100000, 4.410001, 4.335930
-2.000000, 4.000000, 4.014397
-1.900000, 3.610000, 3.798577
-1.800000, 3.240000, 3.581780
-1.700000, 2.890000, 3.366204
-1.600000, 2.560000, 3.150383
-1.500000, 2.250000, 2.933830
-1.400000, 1.960000, 2.717522
-1.300000, 1.690000, 2.501457
-1.200000, 1.440000, 2.285149
-1.100000, 1.210000, 2.068840
-1.000000, 1.000000, 1.852532
-0.900000, 0.810000, 1.636711
-0.800000, 0.640000, 1.420159
-0.700000, 0.490000, 1.204582
-0.600000, 0.360000, 0.988274
-0.500000, 0.250000, 0.772209
-0.490000, 0.240100, 0.750237
-0.480000, 0.230400, 0.728752
-0.470000, 0.220900, 0.707024
-0.460000, 0.211600, 0.685051
-0.450000, 0.202500, 0.664055
-0.440000, 0.193600, 0.642327
-0.430000, 0.184900, 0.620598
-0.420000, 0.176400, 0.598870
-0.410000, 0.168100, 0.577141
-0.400000, 0.160000, 0.555657
-0.390000, 0.152100, 0.534172
-0.380000, 0.144400, 0.512688
-0.370000, 0.136900, 0.490715
-0.360000, 0.129600, 0.469231
-0.350000, 0.122500, 0.447502
-0.340000, 0.115600, 0.425774
-0.330000, 0.108900, 0.404289
-0.320000, 0.102400, 0.382561
-0.310000, 0.096100, 0.361077
-0.300000, 0.090000, 0.339592
-0.290000, 0.084100, 0.317864
-0.280000, 0.078400, 0.296379
-0.270000, 0.072900, 0.274651
-0.260000, 0.067600, 0.252922
-0.250000, 0.062500, 0.231438
-0.240000, 0.057600, 0.209709
-0.230000, 0.052900, 0.187981
-0.220000, 0.048400, 0.166496
-0.210000, 0.044100, 0.144768
-0.200000, 0.040000, 0.123284
-0.190000, 0.036100, 0.101555
-0.180000, 0.032400, 0.080315
-0.170000, 0.028900, 0.058342
-0.160000, 0.025600, 0.036614
-0.150000, 0.022500, 0.015129
-0.140000, 0.019600, -0.006599
-0.130000, 0.016900, -0.027839
-0.120000, 0.014400, -0.049812
-0.110000, 0.012100, -0.071541
-0.100000, 0.010000, -0.092781
-0.090000, 0.008100, -0.114265
-0.080000, 0.006400, -0.135994
-0.070000, 0.004900, -0.158211
-0.060000, 0.003600, -0.179207
-0.050000, 0.002500, -0.200935
-0.040000, 0.001600, -0.222420
-0.030000, 0.000900, -0.244148
-0.020000, 0.000400, -0.266121
-0.010000, 0.000100, -0.287849
0.000000, 0.000000, -0.309090
0.010000, 0.000100, -0.330574
0.020000, 0.000400, -0.352058
0.030000, 0.000900, -0.373787
0.040000, 0.001600, -0.395515
0.050000, 0.002500, -0.417244
0.060000, 0.003600, -0.410652
0.070000, 0.004900, -0.399910
0.080000, 0.006400, -0.389168
0.090000, 0.008100, -0.378425
0.100000, 0.010000, -0.367683
0.110000, 0.012100, -0.356941
0.120000, 0.014400, -0.346199
0.130000, 0.016900, -0.335701
0.140000, 0.019600, -0.325203
0.150000, 0.022500, -0.314461
0.160000, 0.025600, -0.303718
0.170000, 0.028900, -0.293220
0.180000, 0.032400, -0.282478
0.190000, 0.036100, -0.271736
0.200000, 0.040000, -0.260750
0.210000, 0.044100, -0.250252
0.220000, 0.048400, -0.239265
0.230000, 0.052900, -0.228767
0.240000, 0.057600, -0.218269
0.250000, 0.062500, -0.207771
0.260000, 0.067600, -0.197029
0.270000, 0.072900, -0.186043
0.280000, 0.078400, -0.175300
0.290000, 0.084100, -0.165047
0.300000, 0.090000, -0.153816
0.310000, 0.096100, -0.143562
0.320000, 0.102400, -0.132820
0.330000, 0.108900, -0.121834
0.340000, 0.115600, -0.111580
0.350000, 0.122500, -0.100838
0.360000, 0.129600, -0.090095
0.370000, 0.136900, -0.079353
0.380000, 0.144400, -0.068611
0.390000, 0.152100, -0.058357
0.400000, 0.160000, -0.047127
0.410000, 0.168100, -0.036629
0.420000, 0.176400, -0.026131
0.430000, 0.184900, -0.015144
0.440000, 0.193600, -0.004646
0.450000, 0.202500, 0.006340
0.460000, 0.211600, 0.016594
0.470000, 0.220900, 0.027336
0.480000, 0.230400, 0.038078
0.490000, 0.240100, 0.049065
0.500000, 0.250000, 0.059563
0.600000, 0.360000, 0.166252
0.700000, 0.490000, 0.273186
0.800000, 0.640000, 0.380119
0.900000, 0.810000, 0.487053
1.000000, 1.000000, 0.593743
1.100000, 1.210000, 0.700188
1.200000, 1.440000, 0.807121
1.300000, 1.690000, 0.914055
1.400000, 1.960000, 1.021477
1.500000, 2.250000, 1.127678
1.600000, 2.560000, 1.234856
1.700000, 2.890000, 1.546379
1.800000, 3.240000, 2.058586
1.900000, 3.610000, 2.571038
2.000000, 4.000000, 3.083000
2.100000, 4.409999, 3.595452
2.200000, 4.839999, 4.107903
2.300000, 5.290000, 4.620110
2.400000, 5.759999, 5.132317
2.500000, 6.250000, 5.644035
2.600000, 6.759999, 6.156242
2.700000, 7.289999, 6.668694
2.800000, 7.840000, 7.180901
2.900000, 8.410001, 7.839348
3.000000, 9.000000, 8.696037
3.100000, 9.610001, 9.551994
3.200000, 10.240001, 10.407707
3.300000, 10.890001, 11.263664
3.400000, 11.560000, 12.119621
3.500000, 12.250000, 12.975334
3.600000, 12.960001, 13.831535
3.700000, 13.690001, 14.687981
3.800000, 14.440000, 15.544182
3.900000, 15.210001, 16.399895
4.000000, 16.000000, 17.255852
4.100000, 16.809999, 18.112053
4.200000, 17.640003, 18.968010
4.300000, 18.490002, 19.824211
4.400000, 19.360001, 20.680168
4.500000, 20.250000, 21.536369
4.600000, 21.160000, 22.392082
4.700000, 22.089998, 23.248039
4.800000, 23.040001, 24.104240
4.900000, 24.010000, 24.960442
5.000000, 25.000000, 25.816399
5.100000, 26.009998, 26.672356
5.200000, 27.039997, 27.528557
5.300000, 28.090002, 28.384758
5.400000, 29.160002, 29.240471
5.500000, 30.250000, 30.325920
5.600000, 31.360004, 31.470207
5.700000, 32.490002, 32.614494
5.800000, 33.640003, 33.758781
5.900000, 34.810001, 34.903313
6.000000, 36.000000, 36.047600
6.100000, 37.209999, 37.191887
